Camera Details,Rating,Warranty,is_5G,Storage_expandable,RAM_in_GB,ROM_in_GB,Display_type,Display_size_in_inch,Rear_camera_in_MP,Front_camera_in_MP,Battery_capacity_in_mAh,Processor_brand,Total_Ratings,Total_Reviews,product_brand
70,4.4,1.0,0,0,4.0,64.0,3,6.6,50.0,16.0,5000.0,3,238759.0,10128.0,19
38,4.4,1.0,1,0,4.0,64.0,3,6.5,48.0,16.0,5000.0,0,53065.0,3237.0,19
70,4.4,1.0,0,0,4.0,64.0,3,6.6,50.0,16.0,5000.0,3,53065.0,3237.0,19
117,4.4,1.0,0,0,4.0,64.0,3,6.5,64.0,16.0,4300.0,1,345062.0,21947.0,19
131,4.4,1.0,0,0,2.0,32.0,6,6.5,8.0,5.0,5000.0,2,5349.0,719.0,19
38,4.4,1.0,1,0,6.0,128.0,3,6.5,48.0,16.0,5000.0,0,70825.0,5639.0,19
38,4.4,1.0,1,0,6.0,128.0,3,6.5,48.0,16.0,5000.0,0,5349.0,719.0,19
71,4.6,1.0,0,0,4.0,64.0,6,6.5,50.0,8.0,6000.0,1,91711.0,3058.0,19
120,4.4,1.0,0,0,12.0,256.0,3,6.62,64.0,16.0,5000.0,3,70825.0,5639.0,19
38,4.3,1.0,1,0,8.0,128.0,3,6.5,48.0,16.0,5000.0,0,78535.0,6066.0,19
120,4.3,1.0,0,0,12.0,256.0,3,6.62,64.0,16.0,5000.0,3,78535.0,6066.0,19
21,4.6,1.0,0,0,3.0,32.0,6,6.5,13.0,5.0,5000.0,4,91711.0,3058.0,19
38,4.3,1.0,1,0,8.0,128.0,3,6.5,48.0,16.0,5000.0,0,78535.0,6066.0,19
38,4.3,1.0,1,0,4.0,128.0,3,6.5,48.0,16.0,5000.0,0,78990.0,6064.0,19
38,4.4,1.0,1,0,4.0,128.0,3,6.5,48.0,16.0,5000.0,0,1879.0,229.0,19
21,4.4,1.0,0,0,3.0,32.0,6,6.5,13.0,5.0,5000.0,4,1879.0,229.0,19
38,4.3,1.0,1,0,4.0,64.0,3,6.5,48.0,16.0,5000.0,0,78990.0,6064.0,19
