Product_name,Price,Storage,Display_size,Camera Details,Battery,Rating,Processor,Warranty,Overall_Review
"realme Narzo 60 pro 5G (?Cosmic Black, 128 GB)","₹11,499",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,100MP Rear Camera | 2MP Front Camera,5000 mAh Battery,4.3,octa -core Mediatek Dimensity 7050 processor Processor,Not Available,800 Ratings & 75 Reviews
"realme Narzo 50A Prime (Flash Blue, 128 GB)","₹18,499",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,5000 mAh Battery,4.1,Not Available,12 Months Brand Warranty,"1,787 Ratings & 81 Reviews"
"realme Narzo 50 Pro 5G (Hyper Blue, 128 GB)","₹24,490",8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,48MP Rear Camera,5000 mAh Battery,4.2,Dimensity 920 5G Processor Processor,12Months Brand Warranty,318 Ratings & 27 Reviews
"realme GT Master Edition (Voyager Grey, 128 GB)","₹9,999",8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Full HD+ Display,64MP + 8MP + 2MP | 32MP Front Camera,4300 mAh Battery,4.4,Qualcomm Snapdragon 778G Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"63,789 Ratings & 6,667 Reviews"
"realme C25s (Watery Grey, 64 GB)","₹23,990",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,4.4,MediaTek Helio G85 Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"53,536 Ratings & 3,009 Reviews"
"realme GT Master Edition (Daybreak Blue, 128 GB)","₹10,499",8 GB RAM | 128 GB ROM,16.33 cm (6.43 inch) Full HD+ Display,64MP + 8MP + 2MP | 32MP Front Camera,4300 mAh Battery,4.4,Qualcomm Snapdragon 778G Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"63,789 Ratings & 6,667 Reviews"
"realme 9 5G SE (Azure Glow, 128 GB)","₹28,990",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,48MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,4.4,Qualcomm Snapdragon 778G Processor,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"29,718 Ratings & 2,346 Reviews"
"realme C33 2023 (Night Sea, 128 GB)","₹28,490",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 0.3MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,4.4,Unisoc T612 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"24,499 Ratings & 881 Reviews"
"realme GT NEO 2 (NEO Blue, 128 GB)","₹29,490",8 GB RAM | 128 GB ROM,16.81 cm (6.62 inch) Full HD+ Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,Qualcomm Snapdragon 870 Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"18,458 Ratings & 2,460 Reviews"
"realme GT NEO 2 (NEO Black, 128 GB)","₹28,990",8 GB RAM | 128 GB ROM,16.81 cm (6.62 inch) Full HD+ Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,4.4,Qualcomm Snapdragon 870 Processor,1 Year Warranty for Mobile and 6 Months for Accessories,"18,458 Ratings & 2,460 Reviews"
"realme GT 2 (Steel Black, 256 GB)","₹20,490",12 GB RAM | 256 GB ROM,16.81 cm (6.62 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,4.4,Qualcomm Snapdragon 888 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"1,879 Ratings & 229 Reviews"
"realme GT 2 (Paper White, 128 GB)","₹21,490",8 GB RAM | 128 GB ROM,16.81 cm (6.62 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,4.3,Qualcomm Snapdragon 888 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"21,592 Ratings & 2,321 Reviews"
"realme Narzo 50 Pro 5G (Hyper Blue, 128 GB)","₹11,999",6 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,48MP Rear Camera | 16MP Front Camera,5000 mAh Battery,4.2,Dimensity 920 5G Processor Processor,12Months Brand Warranty,624 Ratings & 69 Reviews
"realme Narzo 50 Pro 5G (Hyper Black, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,48MP Rear Camera,5000 mAh Battery,4.2,Dimensity 920 5G Processor Processor,12Months Brand Warranty,318 Ratings & 27 Reviews
"realme C15 (Power Blue, 32 GB)","₹9,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,4.3,Mediatek Helio G35 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"56,630 Ratings & 3,793 Reviews"
